Waktu,ID_Armada,Tipe,Aksi,Lokasi,Muatan_kg,Jarak_Tempuh,Total_Jarak_Sementara,Pesan_Log
06:15,Gerobak_1,Gerobak,Patroli Lewat,RU_51,0,2,2,Melewati persimpangan
06:15,Gerobak_2,Gerobak,Patroli Lewat,RU_51,0,2,2,Melewati persimpangan
06:15,Gerobak_3,Gerobak,Patroli Lewat,RU_60,0,2,2,Melewati persimpangan
06:15,Gerobak_4,Gerobak,Patroli Lewat,RU_26,0,3,3,Melewati persimpangan
06:21,Gerobak_1,Gerobak,Patroli Lewat,RU_52,0,2,4,Melewati persimpangan
06:21,Gerobak_2,Gerobak,Patroli Lewat,RU_52,0,2,4,Melewati persimpangan
06:21,Gerobak_3,Gerobak,Patroli Lewat,RU_59,0,2,4,Melewati persimpangan
06:24,Gerobak_4,Gerobak,Patroli Lewat,RU_27,0,2,5,Melewati persimpangan
06:27,Gerobak_1,Gerobak,Patroli Lewat,RU_53,0,2,6,Melewati persimpangan
06:27,Gerobak_2,Gerobak,Patroli Lewat,RU_53,0,2,6,Melewati persimpangan
06:27,Gerobak_3,Gerobak,Patroli Lewat,RG_40,0,2,6,Melewati persimpangan
06:30,Gerobak_4,Gerobak,Patroli Lewat,RU_28,0,2,7,Melewati persimpangan
06:33,Gerobak_1,Gerobak,Ambil Sampah,RU_54,3,2,8,Intercept sampah! Sisa kapasitas: 12kg
06:33,Gerobak_2,Gerobak,Patroli Lewat,RU_54,0,2,8,Melewati persimpangan
06:33,Gerobak_3,Gerobak,Ambil Sampah,RG_39,1,1,7,Intercept sampah! Sisa kapasitas: 14kg
06:36,Gerobak_4,Gerobak,Patroli Lewat,RU_29,0,2,9,Melewati persimpangan
06:38,Gerobak_3,Gerobak,Patroli Lewat,RG_38,0,1,8,Melewati persimpangan
06:39,Gerobak_2,Gerobak,Ambil Sampah,RU_53,2,2,10,Intercept sampah! Sisa kapasitas: 13kg
06:41,Gerobak_3,Gerobak,Ambil Sampah,RG_37,3,1,9,Intercept sampah! Sisa kapasitas: 11kg
06:42,Gerobak_4,Gerobak,Ambil Sampah,RU_30,5,2,11,Intercept sampah! Sisa kapasitas: 10kg
06:45,Gerobak_1,Gerobak,Patroli Lewat,RU_55,0,2,10,Melewati persimpangan
06:49,Gerobak_2,Gerobak,Patroli Lewat,RU_54,0,2,12,Melewati persimpangan
06:50,Gerobak_3,Gerobak,Patroli Lewat,RG_36,0,1,10,Melewati persimpangan
06:51,Gerobak_1,Gerobak,Ambil Sampah,RU_56,4,2,12,Intercept sampah! Sisa kapasitas: 8kg
06:53,Gerobak_3,Gerobak,Ambil Sampah,RG_35,1,1,11,Intercept sampah! Sisa kapasitas: 10kg
06:55,Gerobak_2,Gerobak,Patroli Lewat,RU_55,0,2,14,Melewati persimpangan
06:58,Gerobak_3,Gerobak,Patroli Lewat,RG_34,0,1,12,Melewati persimpangan
06:58,Gerobak_4,Gerobak,Patroli Lewat,RU_29,0,2,13,Melewati persimpangan
07:01,Gerobak_2,Gerobak,Patroli Lewat,RG_33,0,2,16,Melewati persimpangan
07:01,Gerobak_3,Gerobak,Patroli Lewat,RG_28,0,1,13,Melewati persimpangan
07:04,Gerobak_3,Gerobak,Ambil Sampah,RG_29,3,1,14,Intercept sampah! Sisa kapasitas: 7kg
07:04,Gerobak_4,Gerobak,Patroli Lewat,RU_28,0,2,15,Melewati persimpangan
07:05,Gerobak_1,Gerobak,Ambil Sampah,RU_57,1,2,14,Intercept sampah! Sisa kapasitas: 7kg
07:07,Gerobak_2,Gerobak,Ambil Sampah,RG_32,1,1,17,Intercept sampah! Sisa kapasitas: 12kg
07:10,Gerobak_4,Gerobak,Patroli Lewat,RU_27,0,2,17,Melewati persimpangan
