Waktu,ID_Armada,Tipe,Aksi,Lokasi,Muatan_kg,Jarak_Tempuh,Total_Jarak_Sementara,Pesan_Log
06:00,Gerobak_1,Gerobak,Ambil Sampah,RU_3,1,40,40,Sisa kapasitas bak: 14kg
06:15,Gerobak_2,Gerobak,Ambil Sampah,RU_56,2,12,12,Sisa kapasitas bak: 13kg
06:15,Gerobak_3,Gerobak,Ambil Sampah,RU_11,1,29,29,Sisa kapasitas bak: 14kg
06:15,Gerobak_4,Gerobak,Ambil Sampah,RU_8,1,23,23,Sisa kapasitas bak: 14kg
06:55,Gerobak_2,Gerobak,Ambil Sampah,RU_55,2,2,14,Sisa kapasitas bak: 11kg
07:05,Gerobak_2,Gerobak,Ambil Sampah,RU_52,1,6,20,Sisa kapasitas bak: 10kg
07:25,Gerobak_2,Gerobak,Ambil Sampah,RU_51,1,2,22,Sisa kapasitas bak: 9kg
07:26,Gerobak_4,Gerobak,Ambil Sampah,RU_7,2,2,25,Sisa kapasitas bak: 12kg
07:33,Gerobak_2,Gerobak,Ambil Sampah,RU_53,5,4,26,Sisa kapasitas bak: 4kg
07:36,Gerobak_4,Gerobak,Ambil Sampah,RU_6,1,2,27,Sisa kapasitas bak: 11kg
07:44,Gerobak_3,Gerobak,Ambil Sampah,RU_10,5,2,31,Sisa kapasitas bak: 9kg
07:44,Gerobak_4,Gerobak,Ambil Sampah,RU_5,1,2,29,Sisa kapasitas bak: 10kg
07:52,Gerobak_4,Gerobak,Ambil Sampah,RU_4,7,2,31,Sisa kapasitas bak: 3kg
07:55,Gerobak_2,Gerobak,Ambil Sampah,RU_56,3,6,32,Sisa kapasitas bak: 1kg
08:00,Gerobak_3,Gerobak,Ambil Sampah,RU_42,1,6,37,Sisa kapasitas bak: 8kg
08:00,Truk_1,Truk,Ambil Sampah,RU_47,1,10,10,Sisa kapasitas bak: 199kg
08:02,Gerobak_1,Gerobak,Ambil Sampah,RU_1,2,4,44,Sisa kapasitas bak: 12kg
08:08,Truk_1,Truk,Ambil Sampah,RU_45,1,4,14,Sisa kapasitas bak: 198kg
08:12,Gerobak_4,Gerobak,Ambil Sampah,RU_21,1,2,33,Sisa kapasitas bak: 2kg
08:13,Truk_1,Truk,Ambil Sampah,RU_44,1,2,16,Sisa kapasitas bak: 197kg
08:18,Gerobak_1,Gerobak,Ambil Sampah,RU_23,3,13,57,Sisa kapasitas bak: 9kg
08:18,Truk_1,Truk,Ambil Sampah,RU_49,2,10,26,Sisa kapasitas bak: 195kg
08:19,Gerobak_2,Gerobak,Ambil Sampah,RU_54,1,4,36,Sisa kapasitas bak: 0kg
08:20,Gerobak_3,Gerobak,Ambil Sampah,RU_42,1,0,37,Sisa kapasitas bak: 7kg
08:20,Gerobak_4,Gerobak,Ambil Sampah,RU_26,2,11,44,Sisa kapasitas bak: 0kg
08:22,Gerobak_3,Gerobak,Ambil Sampah,RG_14,4,6,43,Sisa kapasitas bak: 3kg
08:26,Truk_1,Truk,Ambil Sampah,RU_59,1,20,46,Sisa kapasitas bak: 194kg
08:33,Gerobak_2,Gerobak,Buang ke TPS,TPS_1,15,8,44,Bongkar muatan di TPS_1
08:40,Truk_1,Truk,Ambil Sampah,RU_37,1,12,58,Sisa kapasitas bak: 193kg
08:48,Gerobak_3,Gerobak,Ambil Sampah,RG_21,3,1,44,Sisa kapasitas bak: 0kg
08:51,Truk_1,Truk,Ambil Sampah,RU_36,4,2,60,Sisa kapasitas bak: 189kg
08:56,Truk_1,Truk,Ambil Sampah,RU_35,1,2,62,Sisa kapasitas bak: 188kg
08:57,Gerobak_3,Gerobak,Buang ke TPS,TPS_1,15,16,60,Bongkar muatan di TPS_1
08:57,Gerobak_4,Gerobak,Buang ke TPS,TPS_3,15,3,47,Bongkar muatan di TPS_3
09:00,Gerobak_5,Gerobak,Ambil Sampah,RU_58,1,6,6,Sisa kapasitas bak: 14kg
09:00,Gerobak_6,Gerobak,Ambil Sampah,RG_40,2,6,6,Sisa kapasitas bak: 13kg
09:00,Gerobak_7,Gerobak,Ambil Sampah,RU_27,3,5,5,Sisa kapasitas bak: 12kg
09:01,Truk_1,Truk,Ambil Sampah,RU_34,1,2,64,Sisa kapasitas bak: 187kg
09:03,Gerobak_1,Gerobak,Ambil Sampah,RU_24,2,2,59,Sisa kapasitas bak: 7kg
09:06,Truk_1,Truk,Ambil Sampah,RU_33,2,2,66,Sisa kapasitas bak: 185kg
09:11,Truk_1,Truk,Ambil Sampah,RU_32,1,2,68,Sisa kapasitas bak: 184kg
09:13,Gerobak_1,Gerobak,Ambil Sampah,RU_22,2,5,64,Sisa kapasitas bak: 5kg
09:16,Truk_1,Truk,Ambil Sampah,RU_31,5,2,70,Sisa kapasitas bak: 179kg
09:20,Gerobak_5,Gerobak,Ambil Sampah,RG_38,1,6,12,Sisa kapasitas bak: 13kg
09:21,Gerobak_7,Gerobak,Ambil Sampah,RU_29,2,4,9,Sisa kapasitas bak: 10kg
